# hiTrans_cc.txt
# Genes with high translation efficiency
# In both H99 and JEC21:
#   - in top 5% by ribosome occupancy in TPM
#
# H99: H99 systematic gene name
# JEC21: JEC21 systematic gene name of ortholog
# RNA.xx: mean RNA abundance in TPM of annotated ORF, strain xx
# RPF.xx: mean ribosome occupancy in TPM of annotated ORF, strain xx
# TE.xx: translation efficiency, RPF.xx/RNA.xx, strain xx
#
# Edward Wallace, June 2018
H99	JEC21	RNA.H99	RPF.H99	TE.H99	RNA.JEC21	RPF.JEC21	TE.JEC21
CNAG_04050	CNB05340	524.862	507.148	0.966	517.073	475.048	0.919
CNAG_03931	CNB04190	212.523	490.845	2.31	167.279	490.573	2.933
CNAG_04028	CNB05110	524.273	522.813	0.997	246.458	457.271	1.855
CNAG_03819	CNB03100	494.905	481.399	0.973	234.457	497.777	2.123
CNAG_02657	CNK01460	534.189	506.936	0.949	355.255	471.627	1.328
CNAG_01470	CNC07090	450.995	483.362	1.072	274.599	494.436	1.801
CNAG_06475	CNN01950	101.522	472.301	4.652	152.49	489.672	3.211
CNAG_01390	CND05020	489.078	501.444	1.025	428.168	454.981	1.063
CNAG_00067	CNA00580	569.23	444.959	0.782	277.435	503.439	1.815
CNAG_00891	CND00300	204.705	454.557	2.221	162.307	489.376	3.015
CNAG_05131	CNL04900	324.055	455.68	1.406	386.541	482.124	1.247
CNAG_02486	CNE00740	186.423	450.173	2.415	193.179	486.123	2.516
