# ribosum_JEC21.txt
# Summary of ribosome profiling data, C. neoformans serotype D JEC21
# Mean of 2 quasi-replicates (WT JEC21 and AGO1 deletion mutant)
# Reads were aligned with hisat2 to transcriptome
# Then quantified only for 5' ends mapping to annotated ORFs.
# Note this excludes UTRs and excludes initiating ribosomes.
#
# Gene: JEC21 systematic gene name
# RNA: RNA abundance in mean TPM
# RPF: Ribosome occupancy, Ribosome protected fragments in mean TPM
# TE: Translation Efficiency, RPF / RNA
#
# Edward Wallace, June 2018
Gene	RNA	RPF	TE
CNA06310	4.479	1.836	0.41
CNA06320	53.243	21.39	0.402
CNA06330	4.373	1.192	0.273
CNA06340	10.851	20.229	1.864
CNA06350	15094.859	6603.656	0.437
CNA06360	3045.553	5796.709	1.903
CNA06370	13.315	5.823	0.437
CNA06380	42.143	19.565	0.464
CNA06390	12.008	7.483	0.623
CNA06400	12.75	21.442	1.682
CNA06410	161.022	112.662	0.7
CNA06420	14.718	30.046	2.042
CNA06425	2.017	1.232	0.611
CNA06430	37.468	75.717	2.021
CNA06440	11.169	27.036	2.421
CNA06450	28.368	14.884	0.525
CNA06460	59.398	82.816	1.394
CNA06470	357.956	78.429	0.219
CNA06480	18.722	10.159	0.543
CNA06490	21.823	21.9	1.004
CNA06500	14346.953	5654.25	0.394
CNA06510	77.241	77.423	1.002
CNA06520	1.591	4.365	2.744
CNA06530	46.422	12.103	0.261
CNA06540	108.615	48.964	0.451
CNA06550	75.938	19.006	0.25
CNA06555	4.391	3.575	0.814
CNA06560	136.003	148.353	1.091
CNA06570	5	1.933	0.387
CNA06580	40.073	22.443	0.56
CNA06590	39.739	18.064	0.455
CNA06600	3.304	1.38	0.418
CNA06610	12.061	5.596	0.464
CNA06620	17.888	21.504	1.202
CNA06630	295.342	365.276	1.237
CNA06640	20.058	39.36	1.962
CNA06650	53.01	76.452	1.442
CNA06660	6.15	4.251	0.691
CNA06665	34.738	24.979	0.719
CNA06670	23.371	13.861	0.593
CNA06680	121.365	58.767	0.484
CNA06690	25.269	21.399	0.847
CNA06700	34.491	9.177	0.266
CNA06710	8.406	6.899	0.821
CNA06730	113.424	82.323	0.726
CNA06740	5.258	3.282	0.624
CNA06750	7.596	7.505	0.988
CNA06760	60.597	113.606	1.875
CNA06770	19.038	3.727	0.196
